,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
11,Austria,201493.20982142858,1423.154017857143,1418.5185156250006,3463.698660714286,23.392857142857142,23.330330357142856,22372.225296875004,158.0158705357142,157.50116294642868,384.5819397321431,2.597348214285714,2.590419642857143,1.0532812499999982,224.21875,24.895511160714285,960.9375,106.69497991071428,0.0,0.0,0.0,0.0,81368.60267857143,6460312.765625,717.302435267857,9.034549107142862,79314.01116071429,8.806415178571427,0.00202232142857143,29.91339285714286,418835.2098214286,303421.03348214284,115658.66964285714,9164.205357142857,8843.200892857143,4.6505133928571425,3.369017857142858,1.284129464285714,981.8571428571429,60.68127232142849,9006400.0,106.74900000000096,44.40000000000004,19.20200000000013,13.74799999999989,45436.68600000037,0.6999999999999941,145.182999999999,6.349999999999947,28.399999999999775,30.89999999999976,0.0,7.369999999999926,81.54000000000066,0.922000000000008
12,Azerbaijan,109204.93679458239,745.528216704289,742.6272212189615,1461.3476297968398,10.817155756207676,10.730110609480814,10770.593943566599,73.52948081264105,73.24336343115118,144.12888036117386,1.0668871331828436,1.0582505643340856,1.006207674943566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.8555304740406,141697.79006772008,13.975279909706549,0.03943566591422122,269.0609480812641,0.02653950338600451,0.0019097065462753947,0.38781038374717836,149241.4920993228,97919.66591422122,51321.82618510158,2170.13769751693,3957.392776523702,1.471918735891648,0.9657562076749436,0.5062979683972911,390.32279909706546,76.46367945823917,10139175.0,119.30900000000067,32.39999999999976,6.018000000000021,3.8710000000000306,15847.418999999969,0.0,559.8120000000038,7.110000000000015,0.2999999999999985,42.5,83.241000000001,4.700000000000029,73.0,0.7559999999999935
13,Bahamas,4677.551401869159,26.226635514018692,25.76301401869159,100.75700934579439,0.5163551401869159,0.5053551401869159,11894.660336448593,66.69236214953277,65.5133738317757,256.2174556074774,1.313084112149534,1.2850257009345762,0.8564953271028029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.85280373831773,273.82943925233644,0.0,0.2570093457943925,79.14719626168224,0.06960280373831776,0.06960280373831776,0.0,201.26401869158877,73.45948598130838,393248.0,39.496999999999744,34.29999999999975,8.996000000000066,5.200000000000014,27717.846999999783,0.0,235.9539999999988,13.170000000000055,3.099999999999991,20.399999999999835,0.0,2.9000000000000026,73.91999999999919,0.8140000000000018
14,Bahrain,69711.63474387529,451.12694877505567,440.062973273942,254.2650334075724,1.6748329621380846,1.6175723830734965,40968.69485300667,265.1219109131402,258.61977505567955,149.4285590200444,0.9842806236080178,0.9506481069042316,1.0430734966592425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7955.229398663697,1457023.7349665924,856.2754231625837,4.675164810690425,9574.467706013364,5.626788418708244,0.040596881959910895,29.409576837416502,159529.6302895323,118530.49888641425,63882.024498886414,2321.2538975501116,3187.3518930957684,9.375367483296216,6.965924276169269,3.7542093541202664,1873.1380846325167,59.981492204900164,1701583.0,1935.907000000006,32.39999999999976,2.3719999999999875,1.3869999999999902,43290.70499999981,0.0,151.6889999999989,16.520000000000188,5.800000000000014,37.60000000000021,0.0,2.0,77.29000000000066,0.8519999999999935
15,Bangladesh,344705.49433106574,1770.6507936507937,1766.333993197279,5035.424036281179,27.621315192743765,27.431780045351466,2093.064460317459,10.751451247165537,10.725238095238097,30.575260770975046,0.16775056689342452,0.16656235827664406,0.9957596371882093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12919.07709750567,2212627.3151927437,13.435147392290249,0.0784104308390023,12864.42403628118,0.07809297052154195,0.12434693877551016,12.296598639455782,727504.9274376418,592898.4535147392,134606.47392290249,8714.956916099773,21537.249433106575,0.44179138321995454,0.3598639455782313,0.08172335600907031,130.7845804988662,77.62024943310693,164689383.0,1265.0360000000057,27.5,5.097999999999969,3.2619999999999636,3523.9839999999976,14.800000000000114,298.0029999999978,8.380000000000077,1.0,44.70000000000037,34.80800000000042,0.8000000000000065,72.59000000000013,0.6320000000000036
16,Barbados,999.632318501171,9.292740046838407,9.269653395784541,14.163934426229508,0.10772833723653395,0.10742388758782208,3478.542824355973,32.3371100702576,32.25672833723654,49.28809601873548,0.37488992974238855,0.37367213114754194,0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11999.564402810305,10813.908665105386,1185.655737704918,269.4824355971897,276.95316159250586,4.175573770491802,3.762974238875877,0.41257611241217795,963.7423887587822,59.05341920374675,287371.0,664.4629999999952,39.79999999999969,14.952000000000153,9.472999999999963,16978.067999999974,0.0,170.05000000000138,13.569999999999965,1.8999999999999857,14.5,88.46899999999988,5.800000000000005,79.18999999999951,0.8140000000000018
17,Belarus,136637.92359550562,848.3865168539326,839.8359393258423,1023.5640449438202,6.092134831460674,6.025026966292134,14460.078516853933,89.7828224719101,88.87792359550562,108.32145393258428,0.6445505617977517,0.6375797752808986,1.000292134831461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.9393258426967,661980.3033707865,70.05585393258426,0.12200449438202246,13591.914606741573,1.438404494382023,0.055925842696629216,38.95348314606742,2281.1370786516854,1614.3955056179775,666.7415730337078,0.0,955.4966292134832,0.024157303370786518,0.0170561797752809,0.0070786516853932595,101.13483146067416,19.13195505617976,9449321.0,46.85800000000015,40.29999999999966,14.79899999999998,9.787999999999982,17167.967000000117,0.0,443.12899999999587,5.18,10.5,46.09999999999991,0.0,11.0,74.79000000000065,0.8229999999999952
18,Belgium,354857.08102345414,2202.3347547974413,2191.0983901918953,12781.219616204691,52.714285714285715,52.59395948827292,30618.536509594895,190.0265778251599,189.05702771855005,1102.8164882729218,4.548398720682309,4.538055437100212,1.0335181236673772,435.95522388059703,37.61601066098081,1974.17697228145,170.34014925373134,0.0,0.0,153.75688699360342,13.266786780383793,28329.808102345414,4487704.25586354,387.2176780383795,2.444400852878465,28060.074626865673,2.4211385927505322,0.07677185501066104,23.893816631130115,492235.46268656716,366440.60980810237,126689.73347547975,11388.852878464819,10916.891257995736,4.247249466950959,3.1618763326226014,1.093049040511727,941.9381663113006,57.06004264392294,11589616.0,375.56400000000235,41.79999999999963,18.570999999999927,12.849000000000096,42658.576000000015,0.2000000000000017,114.89800000000064,4.289999999999975,25.10000000000021,31.399999999999757,0.0,5.640000000000006,81.62999999999991,0.9309999999999959
19,Belize,5335.166270783848,30.26603325415677,30.19886698337292,127.458432304038,0.7672209026128266,0.7672541567695936,13417.717508313544,76.11781947743462,75.94882185273164,320.55262470308804,1.9295558194774323,1.9295225653206696,0.6222090261282662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189.9619952494063,2189.9619952494063,0.0,56.434679334916865,120.06888361045131,0.5507363420427553,0.5507363420427553,0.0,301.9714964370546,69.33268408551103,397621.0,16.42600000000013,25.0,3.853000000000011,2.278999999999997,7824.362000000056,0.0,176.95700000000005,17.109999999999882,0.0,0.0,90.08299999999936,1.3000000000000045,74.61999999999969,0.7160000000000036
20,Benin,2965.0233644859813,18.679906542056074,18.677217289719625,41.654205607476634,0.23598130841121495,0.23603971962616843,244.5743598130841,1.5408317757009349,1.5405957943925221,3.4357476635514046,0.019436915887850466,0.019532710280373834,0.8091822429906536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.960280373831775,24.960280373831775,0.0,0.0,0.0,0.0002102803738317757,0.0002102803738317757,0.0,0.0,42.27570093457939,12123198.0,99.11000000000043,18.800000000000125,3.243999999999993,1.9420000000000055,2064.236000000007,49.59999999999986,235.84799999999902,0.9900000000000057,0.5999999999999961,12.300000000000098,11.034999999999933,0.5,61.77000000000036,0.5449999999999952
